max_temp,mean_temp,min_temp,station_pressure,x_month,Year,class_month
48.8,43.2,37.5,29.34,9,2017,05
66.4,57.7,48.9,29.31,8,2017,05
62.0,49.5,37.0,29.37,5,2017,05
38.9,32.4,25.8,29.34,10,2017,05
17.2,11.4,5.5,29.54,11,2017,05
24.5,17.3,10.1,29.44,12,2017,05
75.7,65.3,54.9,29.49,7,2017,05
72.6,60.4,48.2,29.38,6,2017,05
3.2,-6.7,-16.6,29.51,1,2017,05
11.1,1.7,-7.8,29.49,2,2017,05
13.7,-2.5,-18.6,29.67,3,2017,05
45.4,34.5,23.6,29.44,4,2017,05
43.5,35.3,27.1,29.28,10,2018,05
6.5,-1.2,-8.8,29.49,1,2018,05
20.9,14.7,8.5,29.36,11,2018,05
18.6,10.3,2.0,29.75,2,2018,05
41.5,30.2,18.8,29.38,4,2018,05
60.2,48.8,37.4,29.34,5,2018,05
70.5,58.6,46.6,29.38,6,2018,05
9.9,0.8,-8.3,29.15,12,2018,05
63.6,56.0,48.3,29.39,8,2018,05
56.5,47.9,39.2,29.67,9,2018,05
28.3,17.9,7.4,29.6,3,2018,05
76.4,64.6,52.8,29.59,7,2018,05
6.4,-2.2,-10.8,29.15,12,2019,04
21.3,16.1,10.9,29.39,11,2019,04
6.8,-2.9,-12.5,29.46,1,2019,04
20.9,11.1,1.3,29.73,2,2019,04
39.3,29.6,19.9,29.44,3,2019,04
47.3,36.2,25.1,29.36,4,2019,04
64.7,52.7,40.7,29.41,5,2019,04
57.7,48.5,39.3,29.34,9,2019,04
38.7,32.5,26.3,29.39,10,2019,04
70.1,59.9,49.7,29.31,8,2020,04
55.8,48.0,40.2,29.41,9,2020,04
36.5,29.8,23.0,29.53,10,2020,04
16.9,8.5,0.1,29.26,11,2020,04
13.6,4.6,-4.4,29.18,12,2020,04
21.7,11.7,1.6,29.71,3,2020,04
43.2,34.7,26.1,29.52,4,2020,04
8.7,-3.8,-16.3,29.42,2,2020,04
-8.3,-16.1,-23.8,29.49,1,2020,04
71.0,59.9,48.7,29.36,6,2020,04
66.8,53.2,39.5,29.47,5,2020,04
70.6,61.5,52.3,29.46,7,2020,04
